planting,month,start date,end date
HF,July,7/13/2024,7/20/2024
L,July,7/13/2024,7/20/2024
SB,July,7/13/2024,7/20/2024
SBEE,July,7/13/2024,7/20/2024
SBEW,July,7/13/2024,7/20/2024
TC,July,7/13/2024,7/20/2024
TCE,July,7/13/2024,7/20/2024
WH,July,7/13/2024,7/20/2024
HF,October,10/11/2024,10/18/2024
L,October,10/11/2024,10/18/2024
SB,October,10/11/2024,10/18/2024
SBEE,October,10/11/2024,10/18/2024
SBEW,October,10/11/2024,10/18/2024
TC,October,10/11/2024,10/18/2024
TCE,October,10/11/2024,10/18/2024
WH,October,10/11/2024,10/18/2024
